Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1000, elapsed_secs=5, mean=0.980469, stdev=0.000000, best fit=0.980469,
indivs=11000, elapsed_secs=54, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=21000, elapsed_secs=109, mean=0.978547, stdev=0.042931, best fit=0.980469,
indivs=31000, elapsed_secs=169, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=41000, elapsed_secs=233, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=51000, elapsed_secs=300, mean=0.979911, stdev=0.017614, best fit=0.980469,
indivs=61000, elapsed_secs=372, mean=0.978547, stdev=0.042931, best fit=0.980469,
indivs=71000, elapsed_secs=452, mean=0.969898, stdev=0.100228, best fit=0.980469,
indivs=81000, elapsed_secs=533, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=91000, elapsed_secs=615, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=101000, elapsed_secs=700, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=111000, elapsed_secs=786, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=121000, elapsed_secs=872, mean=0.976125, stdev=0.062648, best fit=0.980469,
indivs=131000, elapsed_secs=961, mean=0.972781, stdev=0.085604, best fit=0.980469,
indivs=141000, elapsed_secs=1052, mean=0.976625, stdev=0.060653, best fit=0.980469,
indivs=151000, elapsed_secs=1140, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=161000, elapsed_secs=1229, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=171000, elapsed_secs=1323, mean=0.972781, stdev=0.085604, best fit=0.980469,
indivs=181000, elapsed_secs=1420, mean=0.976625, stdev=0.060653, best fit=0.980469,
indivs=191000, elapsed_secs=1514, mean=0.972781, stdev=0.085604, best fit=0.980469,
indivs=201000, elapsed_secs=1604, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=211000, elapsed_secs=1688, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=221000, elapsed_secs=1772, mean=0.976068, stdev=0.063125, best fit=0.980469,
indivs=231000, elapsed_secs=1861, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=241000, elapsed_secs=1948, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=251000, elapsed_secs=2030, mean=0.974703, stdev=0.074210, best fit=0.980469,
indivs=261000, elapsed_secs=2115, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=271000, elapsed_secs=2200, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=281000, elapsed_secs=2285, mean=0.970859, stdev=0.095612, best fit=0.980469,
indivs=291000, elapsed_secs=2372, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=301000, elapsed_secs=2458, mean=0.976625, stdev=0.060653, best fit=0.980469,
indivs=311000, elapsed_secs=2545, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=321000, elapsed_secs=2634, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=331000, elapsed_secs=2728, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=341000, elapsed_secs=2822, mean=0.974703, stdev=0.074211, best fit=0.980469,
indivs=351000, elapsed_secs=2923, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=361000, elapsed_secs=3030, mean=0.975664, stdev=0.067778, best fit=0.980469,
indivs=371000, elapsed_secs=3135, mean=0.973742, stdev=0.080116, best fit=0.980469,
indivs=381000, elapsed_secs=3237, mean=0.979508, stdev=0.030372, best fit=0.980469,
indivs=391000, elapsed_secs=3337, mean=0.977586, stdev=0.052554, best fit=0.980469,
indivs=401000, elapsed_secs=3431, mean=0.943036, stdev=0.186042, best fit=0.980517,
indivs=411000, elapsed_secs=3525, mean=0.949763, stdev=0.169133, best fit=0.980517,
indivs=421000, elapsed_secs=3622, mean=0.952087, stdev=0.162128, best fit=0.980517,
indivs=431000, elapsed_secs=3721, mean=0.956491, stdev=0.150034, best fit=0.980517,
indivs=441000, elapsed_secs=3824, mean=0.961855, stdev=0.131754, best fit=0.980517,
indivs=451000, elapsed_secs=3928, mean=0.955128, stdev=0.153388, best fit=0.980517,
indivs=461000, elapsed_secs=4038, mean=0.955971, stdev=0.150907, best fit=0.980517,
indivs=471000, elapsed_secs=4148, mean=0.954569, stdev=0.155759, best fit=0.980517,
indivs=481000, elapsed_secs=4263, mean=0.954010, stdev=0.156666, best fit=0.980517,
indivs=491000, elapsed_secs=4377, mean=0.948244, stdev=0.172471, best fit=0.980517,
indivs=501000, elapsed_secs=4492, mean=0.948186, stdev=0.172790, best fit=0.980517,
indivs=511000, elapsed_secs=4611, mean=0.953932, stdev=0.157136, best fit=0.980517,
indivs=521000, elapsed_secs=4733, mean=0.958393, stdev=0.144183, best fit=0.980517,
