Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=100, elapsed_secs=0, mean=0.750000, stdev=0.000000, best fit=0.750000,
indivs=10100, elapsed_secs=1, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=20100, elapsed_secs=1, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=30100, elapsed_secs=2, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=40100, elapsed_secs=2, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=50100, elapsed_secs=2, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=60100, elapsed_secs=3, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=70100, elapsed_secs=3, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=80100, elapsed_secs=4, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=90100, elapsed_secs=4, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=100100, elapsed_secs=5, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=110100, elapsed_secs=5, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=120100, elapsed_secs=5, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=130100, elapsed_secs=6, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=140100, elapsed_secs=6, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=150100, elapsed_secs=7, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=160100, elapsed_secs=7, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=170100, elapsed_secs=8, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=180100, elapsed_secs=8, mean=0.664167, stdev=0.187622, best fit=0.750000,
indivs=190100, elapsed_secs=8, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=200100, elapsed_secs=9, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=210100, elapsed_secs=9, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=220100, elapsed_secs=10, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=230100, elapsed_secs=10, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=240100, elapsed_secs=10, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=250100, elapsed_secs=11, mean=0.704167, stdev=0.143069, best fit=0.750000,
indivs=260100, elapsed_secs=11, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=270100, elapsed_secs=12, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=280100, elapsed_secs=12, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=290100, elapsed_secs=13, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=300100, elapsed_secs=13, mean=0.708333, stdev=0.135657, best fit=0.750000,
indivs=310100, elapsed_secs=13, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=320100, elapsed_secs=14, mean=0.669167, stdev=0.183127, best fit=0.750000,
indivs=330100, elapsed_secs=14, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=340100, elapsed_secs=15, mean=0.725000, stdev=0.108972, best fit=0.750000,
indivs=350100, elapsed_secs=15, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=360100, elapsed_secs=15, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=370100, elapsed_secs=16, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=380100, elapsed_secs=16, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=390100, elapsed_secs=17, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=400100, elapsed_secs=17, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=410100, elapsed_secs=17, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=420100, elapsed_secs=18, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=430100, elapsed_secs=18, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=440100, elapsed_secs=19, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=450100, elapsed_secs=19, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=460100, elapsed_secs=20, mean=0.650000, stdev=0.200000, best fit=0.750000,
indivs=470100, elapsed_secs=20, mean=0.655000, stdev=0.196150, best fit=0.750000,
indivs=480100, elapsed_secs=20, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=490100, elapsed_secs=21, mean=0.670833, stdev=0.181573, best fit=0.750000,
indivs=500100, elapsed_secs=21, mean=0.720000, stdev=0.118743, best fit=0.750000,
indivs=510100, elapsed_secs=22, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=520100, elapsed_secs=22, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=530100, elapsed_secs=23, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=540100, elapsed_secs=23, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=550100, elapsed_secs=23, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=560100, elapsed_secs=24, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=570100, elapsed_secs=24, mean=0.669167, stdev=0.183127, best fit=0.750000,
indivs=580100, elapsed_secs=25, mean=0.655000, stdev=0.196150, best fit=0.750000,
indivs=590100, elapsed_secs=25, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=600100, elapsed_secs=25, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=610100, elapsed_secs=26, mean=0.664167, stdev=0.187622, best fit=0.750000,
indivs=620100, elapsed_secs=26, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=630100, elapsed_secs=27, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=640100, elapsed_secs=27, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=650100, elapsed_secs=27, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=660100, elapsed_secs=28, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=670100, elapsed_secs=28, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=680100, elapsed_secs=29, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=690100, elapsed_secs=29, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=700100, elapsed_secs=30, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=710100, elapsed_secs=30, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=720100, elapsed_secs=30, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=730100, elapsed_secs=31, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=740100, elapsed_secs=31, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=750100, elapsed_secs=32, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=760100, elapsed_secs=32, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=770100, elapsed_secs=32, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=780100, elapsed_secs=33, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=790100, elapsed_secs=33, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=800100, elapsed_secs=34, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=810100, elapsed_secs=34, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=820100, elapsed_secs=35, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=830100, elapsed_secs=35, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=840100, elapsed_secs=36, mean=0.677500, stdev=0.173067, best fit=0.750000,
indivs=850100, elapsed_secs=36, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=860100, elapsed_secs=36, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=870100, elapsed_secs=37, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=880100, elapsed_secs=37, mean=0.724167, stdev=0.109097, best fit=0.750000,
indivs=890100, elapsed_secs=38, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=900100, elapsed_secs=38, mean=0.695833, stdev=0.154279, best fit=0.750000,
indivs=910100, elapsed_secs=39, mean=0.678333, stdev=0.173614, best fit=0.750000,
indivs=920100, elapsed_secs=39, mean=0.664167, stdev=0.187622, best fit=0.750000,
indivs=930100, elapsed_secs=40, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=940100, elapsed_secs=40, mean=0.699167, stdev=0.149951, best fit=0.750000,
indivs=950100, elapsed_secs=41, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=960100, elapsed_secs=41, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=970100, elapsed_secs=42, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=980100, elapsed_secs=42, mean=0.709167, stdev=0.135654, best fit=0.750000,
indivs=990100, elapsed_secs=43, mean=0.683333, stdev=0.167912, best fit=0.750000,
indivs=1000100, elapsed_secs=43, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1010100, elapsed_secs=44, mean=0.709167, stdev=0.135654, best fit=0.750000,
indivs=1020100, elapsed_secs=44, mean=0.674167, stdev=0.178378, best fit=0.750000,
indivs=1030100, elapsed_secs=44, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1040100, elapsed_secs=45, mean=0.709167, stdev=0.135654, best fit=0.750000,
indivs=1050100, elapsed_secs=45, mean=0.689167, stdev=0.162385, best fit=0.750000,
indivs=1060100, elapsed_secs=46, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=1070100, elapsed_secs=46, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=1080100, elapsed_secs=47, mean=0.689167, stdev=0.162385, best fit=0.750000,
indivs=1090100, elapsed_secs=47, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1100100, elapsed_secs=47, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1110100, elapsed_secs=48, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=1120100, elapsed_secs=48, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=1130100, elapsed_secs=49, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1140100, elapsed_secs=49, mean=0.710000, stdev=0.135647, best fit=0.750000,
indivs=1150100, elapsed_secs=50, mean=0.714167, stdev=0.127614, best fit=0.750000,
indivs=1160100, elapsed_secs=50, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1170100, elapsed_secs=50, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1180100, elapsed_secs=51, mean=0.703333, stdev=0.143042, best fit=0.750000,
indivs=1190100, elapsed_secs=51, mean=0.715000, stdev=0.127574, best fit=0.750000,
indivs=1200100, elapsed_secs=52, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=1210100, elapsed_secs=52, mean=0.653333, stdev=0.195690, best fit=0.750000,
indivs=1220100, elapsed_secs=53, mean=0.665000, stdev=0.187816, best fit=0.750000,
indivs=1230100, elapsed_secs=53, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1240100, elapsed_secs=53, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1250100, elapsed_secs=54, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1260100, elapsed_secs=54, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1270100, elapsed_secs=55, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1280100, elapsed_secs=55, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1290100, elapsed_secs=55, mean=0.659167, stdev=0.191882, best fit=0.750000,
indivs=1300100, elapsed_secs=56, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1310100, elapsed_secs=56, mean=0.720000, stdev=0.118743, best fit=0.750000,
indivs=1320100, elapsed_secs=57, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1330100, elapsed_secs=57, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1340100, elapsed_secs=58, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1350100, elapsed_secs=58, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1360100, elapsed_secs=58, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1370100, elapsed_secs=59, mean=0.694167, stdev=0.156372, best fit=0.750000,
indivs=1380100, elapsed_secs=59, mean=0.674167, stdev=0.178378, best fit=0.750000,
indivs=1390100, elapsed_secs=60, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1400100, elapsed_secs=60, mean=0.645000, stdev=0.203654, best fit=0.750000,
indivs=1410100, elapsed_secs=61, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=1420100, elapsed_secs=61, mean=0.688333, stdev=0.162284, best fit=0.750000,
indivs=1430100, elapsed_secs=62, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1440100, elapsed_secs=62, mean=0.679167, stdev=0.173355, best fit=0.750000,
indivs=1450100, elapsed_secs=63, mean=0.655000, stdev=0.196150, best fit=0.750000,
indivs=1460100, elapsed_secs=63, mean=0.680000, stdev=0.173494, best fit=0.750000,
indivs=1470100, elapsed_secs=64, mean=0.705000, stdev=0.143091, best fit=0.750000,
indivs=1480100, elapsed_secs=64, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1490100, elapsed_secs=65, mean=0.684167, stdev=0.168034, best fit=0.750000,
indivs=1500100, elapsed_secs=65, mean=0.690000, stdev=0.162481, best fit=0.750000,
indivs=1510100, elapsed_secs=66, mean=0.695000, stdev=0.156445, best fit=0.750000,
indivs=1520100, elapsed_secs=66, mean=0.670000, stdev=0.183303, best fit=0.750000,
indivs=1530100, elapsed_secs=67, mean=0.685000, stdev=0.168152, best fit=0.750000,
indivs=1540100, elapsed_secs=67, mean=0.675000, stdev=0.178536, best fit=0.750000,
indivs=1550100, elapsed_secs=67, mean=0.700000, stdev=0.150000, best fit=0.750000,
indivs=1560100, elapsed_secs=68, mean=0.700000, stdev=0.150000, best fit=0.750000,
