Random seed = 405515805
Running evolution experiment (on the T_search tasks)...
indivs=100, elapsed_secs=0, mean=0.702703, stdev=0.000000, best fit=0.702703,
indivs=10100, elapsed_secs=3, mean=0.645946, stdev=0.140670, best fit=0.702703,
indivs=20100, elapsed_secs=7, mean=0.641892, stdev=0.144759, best fit=0.702703,
indivs=30100, elapsed_secs=11, mean=0.654054, stdev=0.131741, best fit=0.702703,
indivs=40100, elapsed_secs=14, mean=0.645946, stdev=0.140670, best fit=0.702703,
indivs=50100, elapsed_secs=18, mean=0.650000, stdev=0.136339, best fit=0.702703,
indivs=60100, elapsed_secs=22, mean=0.660541, stdev=0.122150, best fit=0.702703,
indivs=70100, elapsed_secs=25, mean=0.662162, stdev=0.121622, best fit=0.702703,
indivs=80100, elapsed_secs=29, mean=0.645946, stdev=0.140670, best fit=0.702703,
indivs=90100, elapsed_secs=33, mean=0.593784, stdev=0.185678, best fit=0.711712,
indivs=100100, elapsed_secs=41, mean=0.604955, stdev=0.177555, best fit=0.711712,
indivs=110100, elapsed_secs=47, mean=0.581261, stdev=0.188818, best fit=0.711712,
indivs=120100, elapsed_secs=53, mean=0.577838, stdev=0.190259, best fit=0.711712,
indivs=130100, elapsed_secs=61, mean=0.582703, stdev=0.189746, best fit=0.711712,
indivs=140100, elapsed_secs=69, mean=0.601351, stdev=0.198515, best fit=0.711712,
indivs=150100, elapsed_secs=76, mean=0.580811, stdev=0.191562, best fit=0.711712,
indivs=160100, elapsed_secs=85, mean=0.621171, stdev=0.168776, best fit=0.711712,
indivs=170100, elapsed_secs=93, mean=0.609640, stdev=0.177178, best fit=0.711712,
indivs=180100, elapsed_secs=102, mean=0.595856, stdev=0.183598, best fit=0.711712,
indivs=190100, elapsed_secs=111, mean=0.579009, stdev=0.193448, best fit=0.711712,
indivs=200100, elapsed_secs=119, mean=0.604505, stdev=0.178967, best fit=0.711712,
indivs=210100, elapsed_secs=128, mean=0.562252, stdev=0.198910, best fit=0.711712,
indivs=220100, elapsed_secs=137, mean=0.583784, stdev=0.201254, best fit=0.711712,
indivs=230100, elapsed_secs=146, mean=0.599820, stdev=0.183983, best fit=0.711712,
indivs=240100, elapsed_secs=154, mean=0.587207, stdev=0.189795, best fit=0.711712,
indivs=250100, elapsed_secs=161, mean=0.601712, stdev=0.181246, best fit=0.711712,
indivs=260100, elapsed_secs=168, mean=0.593243, stdev=0.186129, best fit=0.711712,
indivs=270100, elapsed_secs=175, mean=0.618559, stdev=0.171466, best fit=0.711712,
indivs=280100, elapsed_secs=183, mean=0.608288, stdev=0.174693, best fit=0.711712,
indivs=290100, elapsed_secs=191, mean=0.557027, stdev=0.208632, best fit=0.711712,
indivs=300100, elapsed_secs=197, mean=0.597928, stdev=0.183707, best fit=0.711712,
indivs=310100, elapsed_secs=205, mean=0.602072, stdev=0.181455, best fit=0.711712,
indivs=320100, elapsed_secs=213, mean=0.622973, stdev=0.168771, best fit=0.711712,
indivs=330100, elapsed_secs=222, mean=0.612072, stdev=0.174611, best fit=0.711712,
indivs=340100, elapsed_secs=230, mean=0.615405, stdev=0.173879, best fit=0.711712,
indivs=350100, elapsed_secs=238, mean=0.579730, stdev=0.202710, best fit=0.711712,
indivs=360100, elapsed_secs=247, mean=0.609459, stdev=0.177289, best fit=0.711712,
indivs=370100, elapsed_secs=256, mean=0.606306, stdev=0.191841, best fit=0.711712,
indivs=380100, elapsed_secs=264, mean=0.595135, stdev=0.185747, best fit=0.711712,
indivs=390100, elapsed_secs=271, mean=0.599820, stdev=0.183983, best fit=0.711712,
indivs=400100, elapsed_secs=280, mean=0.605315, stdev=0.179678, best fit=0.711712,
indivs=410100, elapsed_secs=288, mean=0.548198, stdev=0.201522, best fit=0.711712,
indivs=420100, elapsed_secs=297, mean=0.593514, stdev=0.183816, best fit=0.711712,
indivs=430100, elapsed_secs=305, mean=0.574775, stdev=0.194741, best fit=0.711712,
indivs=440100, elapsed_secs=314, mean=0.640000, stdev=0.152020, best fit=0.711712,
