Loading: 
Loading: 0 packages loaded
Analyzing: target //:run_search_experiment (0 packages loaded, 0 targets configured)
INFO: Analyzed target //:run_search_experiment (0 packages loaded, 0 targets configured).
INFO: Found 1 target...
[0 / 1] [Prepa] BazelWorkspaceStatusAction stable-status.txt
Target //:run_search_experiment up-to-date:
  bazel-bin/run_search_experiment
INFO: Elapsed time: 0.144s, Critical Path: 0.00s
INFO: 0 processes.
INFO: Build completed successfully, 1 total action
INFO: Running command line: bazel-bin/run_search_experiment '--search_experiment_spec=     search_tasks {       tasks {         projected_binary_classification_task {           dataset_name: '\''logic_multiply'\''           path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''           held_out_pairs {positive_class: 0 negative_class: 1}           max_supported_data_seed: 1         }         features_size: 2         num_train_examples: 93         num_valid_examples: 14         num_train_epochs: 1         num_tasks: 10         eval_type: ACCURACY       }     }     setup_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     predict_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     learn_ops: [SCALAR_PRODUCT_OP, VECTOR_MEAN_OP]     setup_size_init: 1     mutate_setup_size_min: 1     mutate_setup_size_max: 34     predict_size_init: 1     mutate_predict_size_min: 1     mutate_predict_size_max: 233     learn_size_init: 1     mutate_learn_size_min: 1     mutate_learn_size_max: 377     train_budget {train_budget_baseline: NEURAL_NET_ALGORITHM}     fitness_combination_mode: MEAN_FITNESS_COMBINATION     population_size: 1000     tournament_size: 100     initial_population: NO_OP_ALGORITHM     max_train_steps: 100000000000     allowed_mutation_types {
      mutation_types: [RANDOMIZE_COMPONENT_FUNCTION_MUTATION_TYPE, INSERT_INSTRUCTION_MUTATION_TYPE, REMOVE_INSTRUCTION_MUTATION_TYPE]     }     mutate_prob: 0.9     progress_every: 10000     ' '--final_tasks=
    tasks {       projected_binary_classification_task {         dataset_name: '\''logic_multiply'\''         path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''         held_out_pairs {positive_class: 0 negative_class: 1}         max_supported_data_seed: 1       }       features_size: 2       num_train_examples: 93       num_valid_examples: 14       num_train_epochs: 1       num_tasks: 100       eval_type: ACCURACY     }     ' '--random_seed=2081894615' '--select_tasks=
    tasks {       projected_binary_classification_task {         dataset_name: '\''logic_multiply'\''         path: '\''/home/ubuntu/codes/google-research/automl_zero/binary_logic_data/'\''         held_out_pairs {positive_class: 0 negative_class: 1}         max_supported_data_seed: 1       }       features_size: 2       num_train_examples: 93       num_valid_examples: 14       num_train_epochs: 1       num_tasks: 10       eval_type: ACCURACY     }     '
INFO: Build completed successfully, 1 total action
Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=1000, elapsed_secs=0, mean=0.857143, stdev=0.000000, best fit=0.857143,
indivs=11000, elapsed_secs=1, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=21000, elapsed_secs=1, mean=0.853571, stdev=0.050381, best fit=0.857143,
indivs=31000, elapsed_secs=2, mean=0.855714, stdev=0.031912, best fit=0.857143,
indivs=41000, elapsed_secs=2, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=51000, elapsed_secs=3, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=61000, elapsed_secs=3, mean=0.853214, stdev=0.051606, best fit=0.857143,
indivs=71000, elapsed_secs=4, mean=0.855000, stdev=0.039064, best fit=0.857143,
indivs=81000, elapsed_secs=4, mean=0.852857, stdev=0.055162, best fit=0.857143,
indivs=91000, elapsed_secs=5, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=101000, elapsed_secs=5, mean=0.854643, stdev=0.040644, best fit=0.857143,
indivs=111000, elapsed_secs=6, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=121000, elapsed_secs=6, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=131000, elapsed_secs=7, mean=0.854286, stdev=0.045085, best fit=0.857143,
indivs=141000, elapsed_secs=7, mean=0.848571, stdev=0.077775, best fit=0.857143,
indivs=151000, elapsed_secs=8, mean=0.853929, stdev=0.046455, best fit=0.857143,
indivs=161000, elapsed_secs=8, mean=0.852500, stdev=0.056278, best fit=0.857143,
indivs=171000, elapsed_secs=9, mean=0.852143, stdev=0.059552, best fit=0.857143,
indivs=181000, elapsed_secs=10, mean=0.854643, stdev=0.040644, best fit=0.857143,
indivs=191000, elapsed_secs=10, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=201000, elapsed_secs=11, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=211000, elapsed_secs=12, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=221000, elapsed_secs=12, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=231000, elapsed_secs=13, mean=0.851786, stdev=0.060583, best fit=0.857143,
indivs=241000, elapsed_secs=14, mean=0.851429, stdev=0.063632, best fit=0.857143,
indivs=251000, elapsed_secs=14, mean=0.851071, stdev=0.064594, best fit=0.857143,
indivs=261000, elapsed_secs=15, mean=0.850000, stdev=0.071071, best fit=0.857143,
indivs=271000, elapsed_secs=16, mean=0.847143, stdev=0.083922, best fit=0.857143,
indivs=281000, elapsed_secs=17, mean=0.850714, stdev=0.067457, best fit=0.857143,
indivs=291000, elapsed_secs=17, mean=0.847500, stdev=0.081653, best fit=0.857143,
indivs=301000, elapsed_secs=18, mean=0.845357, stdev=0.090288, best fit=0.857143,
indivs=311000, elapsed_secs=19, mean=0.845000, stdev=0.092336, best fit=0.857143,
