Random seed = 2081894615
Running evolution experiment (on the T_search tasks)...
indivs=100, elapsed_secs=0, mean=0.583333, stdev=0.000000, best fit=0.583333,
indivs=10100, elapsed_secs=1, mean=0.621250, stdev=0.011924, best fit=0.625000,
indivs=20100, elapsed_secs=2, mean=0.620833, stdev=0.012500, best fit=0.625000,
indivs=30100, elapsed_secs=2, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=40100, elapsed_secs=4, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=50100, elapsed_secs=5, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=60100, elapsed_secs=6, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=70100, elapsed_secs=7, mean=0.616667, stdev=0.036324, best fit=0.625000,
indivs=80100, elapsed_secs=9, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=90100, elapsed_secs=10, mean=0.619167, stdev=0.030058, best fit=0.625000,
indivs=100100, elapsed_secs=12, mean=0.614583, stdev=0.036975, best fit=0.625000,
indivs=110100, elapsed_secs=14, mean=0.620417, stdev=0.022742, best fit=0.625000,
indivs=120100, elapsed_secs=15, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=130100, elapsed_secs=17, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=140100, elapsed_secs=19, mean=0.619167, stdev=0.014458, best fit=0.625000,
indivs=150100, elapsed_secs=20, mean=0.622917, stdev=0.009081, best fit=0.625000,
indivs=160100, elapsed_secs=22, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=170100, elapsed_secs=23, mean=0.615417, stdev=0.041187, best fit=0.625000,
indivs=180100, elapsed_secs=25, mean=0.604167, stdev=0.106637, best fit=0.625000,
indivs=190100, elapsed_secs=27, mean=0.617083, stdev=0.036178, best fit=0.625000,
indivs=200100, elapsed_secs=28, mean=0.609583, stdev=0.049880, best fit=0.625000,
indivs=210100, elapsed_secs=30, mean=0.613333, stdev=0.041700, best fit=0.625000,
indivs=220100, elapsed_secs=32, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=230100, elapsed_secs=33, mean=0.600000, stdev=0.108173, best fit=0.625000,
indivs=240100, elapsed_secs=35, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=250100, elapsed_secs=37, mean=0.620417, stdev=0.029401, best fit=0.625000,
indivs=260100, elapsed_secs=38, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=270100, elapsed_secs=40, mean=0.620417, stdev=0.022742, best fit=0.625000,
indivs=280100, elapsed_secs=42, mean=0.617083, stdev=0.036178, best fit=0.625000,
indivs=290100, elapsed_secs=43, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=300100, elapsed_secs=45, mean=0.615000, stdev=0.065648, best fit=0.625000,
indivs=310100, elapsed_secs=47, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=320100, elapsed_secs=48, mean=0.612500, stdev=0.068592, best fit=0.625000,
indivs=330100, elapsed_secs=50, mean=0.622083, stdev=0.021453, best fit=0.625000,
indivs=340100, elapsed_secs=52, mean=0.618750, stdev=0.023845, best fit=0.625000,
indivs=350100, elapsed_secs=54, mean=0.615833, stdev=0.062799, best fit=0.625000,
indivs=360100, elapsed_secs=56, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=370100, elapsed_secs=57, mean=0.620417, stdev=0.022742, best fit=0.625000,
indivs=380100, elapsed_secs=59, mean=0.619167, stdev=0.030058, best fit=0.625000,
indivs=390100, elapsed_secs=61, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=400100, elapsed_secs=62, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=410100, elapsed_secs=63, mean=0.615000, stdev=0.036856, best fit=0.625000,
indivs=420100, elapsed_secs=65, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=430100, elapsed_secs=67, mean=0.615833, stdev=0.036600, best fit=0.625000,
indivs=440100, elapsed_secs=68, mean=0.612083, stdev=0.045907, best fit=0.625000,
indivs=450100, elapsed_secs=70, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=460100, elapsed_secs=72, mean=0.620417, stdev=0.013037, best fit=0.625000,
indivs=470100, elapsed_secs=74, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=480100, elapsed_secs=75, mean=0.622083, stdev=0.010631, best fit=0.625000,
indivs=490100, elapsed_secs=77, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=500100, elapsed_secs=79, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=510100, elapsed_secs=80, mean=0.624167, stdev=0.005833, best fit=0.625000,
indivs=520100, elapsed_secs=82, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=530100, elapsed_secs=83, mean=0.615833, stdev=0.062799, best fit=0.625000,
indivs=540100, elapsed_secs=85, mean=0.621250, stdev=0.011924, best fit=0.625000,
indivs=550100, elapsed_secs=87, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=560100, elapsed_secs=88, mean=0.616667, stdev=0.036324, best fit=0.625000,
indivs=570100, elapsed_secs=89, mean=0.620000, stdev=0.013540, best fit=0.625000,
indivs=580100, elapsed_secs=91, mean=0.616250, stdev=0.031344, best fit=0.625000,
indivs=590100, elapsed_secs=92, mean=0.608333, stdev=0.089753, best fit=0.625000,
indivs=600100, elapsed_secs=94, mean=0.623333, stdev=0.008165, best fit=0.625000,
indivs=610100, elapsed_secs=96, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=620100, elapsed_secs=97, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=630100, elapsed_secs=99, mean=0.616667, stdev=0.031180, best fit=0.625000,
indivs=640100, elapsed_secs=100, mean=0.604583, stdev=0.093633, best fit=0.625000,
indivs=650100, elapsed_secs=102, mean=0.620833, stdev=0.012500, best fit=0.625000,
indivs=660100, elapsed_secs=103, mean=0.617083, stdev=0.036178, best fit=0.625000,
indivs=670100, elapsed_secs=105, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=680100, elapsed_secs=106, mean=0.616667, stdev=0.036324, best fit=0.625000,
indivs=690100, elapsed_secs=108, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=700100, elapsed_secs=110, mean=0.618750, stdev=0.030262, best fit=0.625000,
indivs=710100, elapsed_secs=111, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=720100, elapsed_secs=113, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=730100, elapsed_secs=114, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=740100, elapsed_secs=115, mean=0.619583, stdev=0.023315, best fit=0.625000,
indivs=750100, elapsed_secs=117, mean=0.620000, stdev=0.023034, best fit=0.625000,
indivs=760100, elapsed_secs=118, mean=0.614583, stdev=0.036975, best fit=0.625000,
indivs=770100, elapsed_secs=120, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=780100, elapsed_secs=122, mean=0.621667, stdev=0.011304, best fit=0.625000,
indivs=790100, elapsed_secs=123, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=800100, elapsed_secs=125, mean=0.621667, stdev=0.021794, best fit=0.625000,
indivs=810100, elapsed_secs=126, mean=0.620833, stdev=0.022438, best fit=0.625000,
indivs=820100, elapsed_secs=127, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=830100, elapsed_secs=129, mean=0.616250, stdev=0.036465, best fit=0.625000,
indivs=840100, elapsed_secs=130, mean=0.622500, stdev=0.009895, best fit=0.625000,
indivs=850100, elapsed_secs=131, mean=0.621250, stdev=0.022123, best fit=0.625000,
indivs=860100, elapsed_secs=132, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=870100, elapsed_secs=134, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=880100, elapsed_secs=135, mean=0.619167, stdev=0.023585, best fit=0.625000,
indivs=890100, elapsed_secs=137, mean=0.605833, stdev=0.091746, best fit=0.625000,
indivs=900100, elapsed_secs=138, mean=0.618750, stdev=0.023845, best fit=0.625000,
indivs=910100, elapsed_secs=140, mean=0.617083, stdev=0.031010, best fit=0.625000,
indivs=920100, elapsed_secs=142, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=930100, elapsed_secs=143, mean=0.618333, stdev=0.024095, best fit=0.625000,
indivs=940100, elapsed_secs=145, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=950100, elapsed_secs=146, mean=0.618333, stdev=0.030459, best fit=0.625000,
indivs=960100, elapsed_secs=148, mean=0.617500, stdev=0.030833, best fit=0.625000,
indivs=970100, elapsed_secs=149, mean=0.613333, stdev=0.041700, best fit=0.625000,
